Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Bengali
GAME_NAME,,,,,,,,,,,,,,,
GAME_DESCRIPTION,,,,,,,,,,,,,,,
OSTL_TITLE,DAILY RANKING,每日排名,อันดับรายวัน,XẾP HẠNG NGÀY,PERINGKAT HARIAN,CLASSIFICAÇÃO DIÁRIA,CLASIFICACIÓN DIARIA,ЕЖЕДНЕВНЫЙ РЕЙТИНГ,CLASSEMENT QUOTIDIEN,TÄGLICHE RANGLISTE,GÜNLÜK SIRALAMA,दैनिक रैंकिंग,CLASAMENT ZILNIC,التصنيف اليومي,দৈনিক র্যাঙ্কিং
OSTL_RANK,RANK,排名,อันดับ,XẾP HẠNG,PERINGKAT,CLASSIFICAÇÃO,CLASIFICACIÓN,РАНГ,RANG,RANG,SIRALAMA,रैंक,RANG,التصنيف,র্যাঙ্ক
OSTL_NAME,NAME,姓名,ชื่อ,TÊN,NAMA,NOME,NOMBRE,ИМЯ,NOM,NAME,İSİM,नाम,NUME,الاسم,নাম
OSTL_POINT,POINT,積分,คะแนน,ĐIỂM,POIN,PONTOS,PUNTOS,ОЧКИ,POINTS,PUNKTE,PUAN,अंक,PUNCTE,نقطة,পয়েন্ট
OSTL_YOU,YOU,您,คุณ,BẠN,KAMU,VOCÊ,TÚ,ВЫ,VOUS,SIE,SEN,आप,TU,أنت,আপনি
OSTL_RESET,RESET TIME: 10:00 AM (GMT+8),重置時間：上午10:00 (GMT+8),รีเฟรชตอน: 09:00 น.,LÀM MỚI: 10:00 AM (GMT+8),WAKTU RESET: 09:00 WIB,HORÁRIO DE REINÍCIO: 10:00 AM (GMT+8),REINICIO: 8:00 P.M. (GMT-6),ВРЕМЯ СБРОСА: 10:00 AM (GMT+8),HEURE DE RÉINITIALISATION : 10:00 AM (GMT+8),ZURÜCKSETZZEIT: 10:00 AM (GMT+8),SIFIRLANMA ZAMANI: 15:00,रीसेट समय: 10:00 AM (GMT+8),ORA DE RESETARE: 10:00 AM (GMT+8),وقت إعادة التعيين: 10:00 صباحًا (بتوقيت غرينيتش+ 8),রিসেট সময়: 10:00 AM (GMT+8)
OSTL_TAB_WIN,WIN,勝利次數,ชนะ,THẮNG,MENANG,VITÓRIAS,VICTORIA,ПОБЕДЫ,VICTOIRES,SIEGE,ZAFER,जीत,VICTORII,فوز,জয়
OSTL_TAB_KILL,KILL,擊殺數,สังหาร,TIÊU DIỆT,ELIMINASI,ELIMINAÇÕES,ELIMINACIÓN,УБИЙСТВА,ÉLIMINATIONS,ELIMINIERUNGEN,HAKLAMA,हत्या,ELIMINĂRI,قتل,হত্যা
OSTL_TAB_TOTAL_SCORE,TOTAL SCORE,總分數,คะแนนรวม,TỔNG ĐIỂM,PENGHITUNGAN,PONTUAÇÃO TOTAL,PUNTUACIÓN TOTAL,ОБЩИЙ СЧЕТ,SCORE TOTAL,GESAMTPUNKTZAHL,TOPLAM PUAN,कुल स्कोर,SCOR TOTAL,إجمالي النقاط,মোট স্কোর
OSTL_TAB_LEVEL1,LEVEL 1,關卡 1,ระดับ 1,CẤP 1,PERINGKAT 1,NÍVEL 1,NIVEL 1,УРОВЕНЬ 1,NIVEAU 1,STUFE 1,SEVİYE 1,स्तर 1,NIVEL 1,المستوى 1,লেভেল 1
OSTL_TAB_LEVEL2,LEVEL 2,關卡 2,ระดับ 2,CẤP 2,PERINGKAT 2,NÍVEL 2,NIVEL 2,УРОВЕНЬ 2,NIVEAU 2,STUFE 2,SEVİYE 2,स्तर 2,NIVEL 2,المستوى 2,লেভেল 2
OSTL_TAB_LEVEL3,LEVEL 3,關卡 3,ระดับ 3,CẤP 3,PERINGKAT 3,NÍVEL 3,NIVEL 3,УРОВЕНЬ 3,NIVEAU 3,STUFE 3,SEVİYE 3,स्तर 3,NIVEL 3,المستوى 3,লেভেল 3
OSTL_TAB_LEVEL4,LEVEL 4,關卡 4,ระดับ 4,CẤP 4,PERINGKAT 4,NÍVEL 4,NIVEL 4,УРОВЕНЬ 4,NIVEAU 4,STUFE 4,SEVİYE 4,स्तर 4,NIVEL 4,المستوى 4,লেভেল 4
